game_event_id,date,game_id,minute,type,club_id,player_id,description,player_in_id,player_assist_id
68580fe516206c535a293d13d53e3080,2012-08-31,2219795,46,Substitutions,631,54170,", Not reported",85314,
1ef589a426a887735dd9e7e4afb8c6c6,2012-08-31,2219795,80,Substitutions,13,74229,", Not reported",34601,
d2a3778c459dd27bb2c490ea7e6ad96a,2012-08-19,2221641,27,Goals,42,277,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,2805
fcd96dccce5a1f0ab01a223cebeb29c3,2012-08-19,2221641,32,Goals,42,277,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,3114
33fe702f44484d5ac6353c7d261ac21c,2012-08-19,2221641,70,Substitutions,1203,948,", Not reported",55657,
c6a3c088ed8a38d4ce074dd73b20d3da,2012-08-19,2221641,62,Substitutions,42,1335,", Not reported",45668,
5f2f7577cd766b73c1dc2288c5f0c68c,2012-08-19,2221641,55,Goals,42,3114,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,61901
2fdf6c3be014799e166578390ad8889e,2012-08-19,2221641,83,Goals,42,3114,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,45668
1baf51d647cc1e9e7669204f71b0b4a0,2012-08-19,2221641,75,Cards,42,18331,1. Yellow card,,
49e4b2b6586504f1b306282ba564de30,2012-08-19,2221641,47,Goals,42,22837,", Header, 1. Tournament Goal Assist: , Corner, 1. Tournament Assist",,277
fd14303cc2a4259d5395a60cd0fbefaa,2012-08-19,2221641,53,Goals,1203,37459,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,48594
e985cc3aaa301febf7a9c9ca7c9a182f,2012-08-19,2221641,87,Substitutions,1203,37459,", Not reported",226149,
789488e1cf0b4eaddd894848e7025c4a,2012-08-19,2221641,79,Goals,42,45668,", Left-footed shot, 1. Tournament Goal Assist: , Shot on goal, 1. Tournament Assist",,39198
72b2e1dac71b71f209fc4c8f24f213f3,2012-08-19,2221641,46,Substitutions,42,48298,", Not reported",41507,
f93646c386824f25942e3043e522c8b2,2012-08-19,2221641,78,Cards,1203,48594,1. Yellow card,,
189b1d9a956c05996c3231f5b84cd30b,2012-08-19,2221641,81,Substitutions,1203,48594,", Not reported",37803,
2b14247a55137f28c5b879c9fa2b8753,2012-08-19,2221641,62,Substitutions,42,61901,", Not reported",39198,
53f14df1e226987ee3fe3ece1c9921df,2012-08-19,2221641,56,Cards,42,68815,1. Yellow card,,
36c286a755b1265f0c130bd7b5b72cc1,2012-08-17,2221746,65,Substitutions,293,21318,", Tactical",125231,
d797e20c4bdd7dcc9ff343dc71d4459d,2012-08-17,2221746,27,Cards,293,38425,"1. Yellow card  , Foul",,
eb676559ced3fe8f398dea33360535df,2012-08-17,2221746,21,Goals,293,49737,", Right-footed shot, 1. Tournament Goal Assist:",,
600802b438974d3769eb377e3cdea4ec,2012-08-17,2221746,16,Goals,2589,58146,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,31954
c4b84e6c30106cc52a48b3f0bda07f74,2012-08-17,2221746,86,Substitutions,2589,79268,", Tactical",43492,
5cda23635ab9003038112c7675f69297,2012-08-17,2221746,65,Substitutions,293,99003,", Tactical",32485,
2c71d7912e5877d3765b4b69e5e6085e,2012-08-17,2221746,22,Goals,293,126214,", Header, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,862
b1e77c65742c7f227f14b0befa957f92,2012-08-17,2221746,81,Substitutions,2589,139942,", Tactical",94637,
841cba2f1322f9d2887773279db546cd,2012-08-18,2221747,42,Cards,52,1459,1. Yellow card,,
ee5fd5d49a77e3c3a96f4eef507ef89d,2012-08-18,2221747,17,Goals,52,1459,", Penalty, 1. Tournament Goal Assist: , Fouled player",,83423
fde4240ceb72a6df9e96e7636cad8937,2012-08-18,2221747,50,Cards,52,2125,1. Yellow card,,
f1a3130d9f67d0264e22d65fcb88f959,2012-08-18,2221747,70,Substitutions,52,2125,", Tactical",43984,
b07cbe93fff2ffc5b48ec9aa3c791014,2012-08-18,2221747,73,Cards,52,8639,1. Yellow card,,
77d15f0579564548a4afe92f91e6b481,2012-08-18,2221747,86,Substitutions,52,8639,", Tactical",42749,
8724aa7430122a99b0a509302ae409a8,2012-08-18,2221747,77,Cards,440,23566,1. Yellow card,,
f329481c33349e1ee114eaf163c68eaf,2012-08-18,2221747,80,Substitutions,440,23566,", Tactical",40679,
df3f14c2914f880c2cd934d88ae27f6a,2012-08-18,2221747,88,Substitutions,440,43822,", Tactical",83191,
3f7c0f68792864c9f552bee610db2a69,2012-08-18,2221747,79,Cards,52,44182,1. Yellow card,,
f743a6086fd135fd06328c3fa3b401f9,2012-08-18,2221747,84,Cards,52,44594,1. Yellow card,,
ca4c2cd53e2cc6da78debeeb74e49b65,2012-08-18,2221747,69,Substitutions,440,81076,", Tactical",74041,
cd17d87041b7bec444a2a9d7b8025095,2012-08-18,2221747,89,Substitutions,52,83423,", Delay",100628,
ea640044ef0a1f2eb66b3e414aa13864,2012-08-18,2221747,90,Cards,52,85164,1. Yellow card,,
c37ef47d4dff66b3a7d9638dcba39441,2012-08-19,2221748,46,Substitutions,44,2334,", Not reported",58500,
4eea721d0452b7434587bc9f45962dec,2012-08-19,2221748,84,Substitutions,158,4300,", Not reported",37069,
bdc44fb76eb09d4ed9f03b3a049f8fd7,2012-08-19,2221748,3,Goals,158,17294,", Penalty, 1. Tournament Goal Assist: , Fouled player",,152907
3117fd3985293b1806c64e5a215d6a62,2012-08-19,2221748,33,Cards,158,31152,1. Yellow card,,
56f50c88f98d617a6cf7ab6a31eb6dae,2012-08-19,2221748,90,Cards,44,35872,1. Yellow card,,
1e65a8bceef7381b40c95c0459693f6b,2012-08-19,2221748,43,Cards,44,39083,1. Yellow card,,
bc68518545f5b6e330f951230019855e,2012-08-19,2221748,82,Goals,158,39308,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,4300
8f3d188c17bebcd8ec4a369fec771897,2012-08-19,2221748,64,Goals,44,39743,", Tap-in, 1. Tournament Goal Assist: , Header, 1. Tournament Assist",,4691
d52102ca5c5b891fb7434463874e2381,2012-08-19,2221748,87,Substitutions,44,42203,", Not reported",37013,
99ba9350bb019bf055262a9ea6835752,2012-08-19,2221748,60,Substitutions,158,44952,", Not reported",31452,
909a7e2eb64c5e3ed377bf3929bdaf91,2012-08-19,2221748,81,Substitutions,44,49501,", Not reported",50135,
4c1a9cb12368bcd5299cc9cab723311f,2012-08-19,2221748,3,Cards,44,93869,"1. Yellow card  , Foul",,
bc15e00ec8e040b1487cb7b53d661671,2012-08-19,2221748,46,Substitutions,158,123157,", Not reported",39308,
ee73f5eb1de25bb4c9c51cf93c18cd96,2012-08-18,2221749,63,Substitutions,115,380,", Tactical",20288,
a8c0c83477005cce2434531c7c6d7589,2012-08-18,2221749,58,Substitutions,115,10930,", Tactical",72290,
22e53d32e3b278ffab35c9355ccbc8d7,2012-08-18,2221749,73,Substitutions,115,20226,", Tactical",2994,
05551be71cb347bcf4a05270e2e6623c,2012-08-18,2221749,38,Goals,16,29835,", Right-footed shot, 1. Tournament Goal Assist: , Header, 1. Tournament Assist",,25727
bf2fa041cf420535ab56de8d8bd3965d,2012-08-18,2221749,84,Substitutions,16,29835,", Tactical",44521,
0e811014d1ac96973d30c294c5caae5d,2012-08-18,2221749,10,Goals,16,35207,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,38253
071090f993ad04ef3e0a6c5c254a4a6c,2012-08-18,2221749,64,Substitutions,16,35207,", Resting",74842,
7a92313eef5f18a6bea08eef66496eef,2012-08-18,2221749,69,Substitutions,16,38253,", Resting",58124,
c89d7f02ff6ee1f0d714b03696d1db23,2012-08-18,2221749,67,Goals,16,42460,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,29835
06475d2e80cb158016ab0b23cb09348a,2012-08-18,2221750,70,Substitutions,2036,1983,", Tactical",40456,
938c0028c78b38b1951791a6b36b5a3d,2012-08-18,2221750,46,Substitutions,2036,18068,", Tactical",39103,
af8d272468a53223f248eec4097bece7,2012-08-18,2221750,6,Goals,80,28835,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist",,408
c069f5b735be253db1438cb6906ad2cb,2012-08-18,2221750,41,Goals,80,28835,", Right-footed shot, 2. Tournament Goal Assist: , Pass, 1. Tournament Assist",,1301
45d34975afa5cf1c073f424293bd150c,2012-08-18,2221750,86,Substitutions,80,28835,", Tactical",66641,
13670143be08ea3f91f62a2f3b23ff84,2012-08-18,2221750,87,Cards,2036,37338,"1. Yellow card  , Foul",,
35058c43b29f4fbf8fd91662556e9f41,2012-08-18,2221750,46,Substitutions,2036,44067,", Tactical",1077,
